Date d'analyse;Date;HS;Essai;Parcelle;N plante;id_Axe;Feuille;A_bl;pcent_green;id_Feuille
06-mai-13;03/05/2013;9,7;Essai;3;44;MB;-4;9,17836874;83,91558008;7
06-mai-13;03/05/2013;9,7;Essai;3;44;MB;-5;18,77609148;95,87155963;8
06-mai-13;03/05/2013;9,7;Essai;3;44;MB;-6;24,11688725;97,27069052;9
06-mai-13;03/05/2013;9,7;Essai;3;44;MB;-7;24,33737068;99,30281261;10
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;1;15,67222672;99,0840606;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;0;13,74384348;99,83687744;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-1;10,65836578;78,6310947;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-2;12,00142761;99,94893091;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-3;7,77546832;99,98755393;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-4;10,05433473;99,96470796;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-5;26,64801122;99,75668511;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-6;26,75107553;99,71602043;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-7;17,74157742;95,97265405;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-8;24,9886597;99,5243013;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-9;26,58494683;98,04764996;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;Talle;-10;22,71947069;98,65328231;NA
06-mai-13;03/05/2013;9,7;Essai;3;45;MB;1;20,47560421;94,43713617;8
06-mai-13;03/05/2013;9,7;Essai;3;45;MB;0;32,91235353;99,65009777;9
06-mai-13;03/05/2013;9,7;Essai;3;45;MB;-1;27,8676862;99,70829957;10
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;1;5,85998828;88,27755147;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;0;12,612878;99,21483376;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;MB;-1;5,55063406;38,22572209;6
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-2;21,70495659;99,68566779;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-3;3,07338095;99,77958541;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;MB;-4;10,28175363;86,52014997;7
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-5;1,37548112;99,0619137;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-6;1,50128732;33,10055866;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-7;3,64241207;93,23384847;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-8;3,15386466;34,04929938;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;MB;-9;19,4257676;98,3485553;8
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-10;9,72014185;98,41201361;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-11;1,56144849;96,53961368;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-12;9,05949801;99,17926258;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;MB;-13;24,95946621;99,6988672;9
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-14;7,59869448;93,52818815;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-15;16,1902902;99,4670253;NA
22/04/2013;22/04/2013;8,36;Echap;1;1;Talle;-16;10,41497917;99,38209468;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;1;1,83306085;62,19973603;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;0;6,04143953;96,61211523;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;-1;14,5596483;99,69978952;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;-2;5,93982683;77,44046488;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;-3;12,61400703;98,61904945;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;-4;20,6306039;99,84129466;NA
22-avr-13;22/04/2013;8,36;Echap;1;10;Talle;-5;4,39128154;99,81267906;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;10;MB;1;7,3161144;73,73236332;6
16-Dec-2013;22/04/2013;8,36;Echap;1;10;MB;0;15,06013117;97,15977852;7
16-Dec-2013;22/04/2013;8,36;Echap;1;10;MB;-1;23,23979223;99,17480411;8
16-Dec-2013;22/04/2013;8,36;Echap;1;10;MB;-2;4,03805644;99,38888001;9
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;1;12,43142675;90,98280895;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;0;18,11899602;99,2789617;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-1;11,09159072;99,87348767;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-2;10,75255914;93,46893469;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-3;9,64320652;99,29584532;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-4;3,24854189;75,87508068;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-5;8,75917603;97,9118714;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-6;12,82771628;99,25816024;NA
27-juin-201;22/04/2013;8,36;Echap;1;10;Talle;-7;3,03902618;95,40919223;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;1;7,24385648;90,95787317;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;0;14,25593923;99,29853938;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-1;2,74692999;88,28019494;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-2;21,36237663;99,70252252;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-3;8,61982147;98,88853545;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-4;9,52675514;99,6749399;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-5;5,27079591;83,76939319;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-6;12,00175019;98,45721735;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-7;18,61318858;99,64558673;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-8;3,22854193;97,97172403;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;Talle;-9;3,39612224;94,83282675;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;11;MB;1;6,68030922;32,44241634;6
16-Dec-2013;22/04/2013;8,36;Echap;1;11;MB;0;13,32223142;89,04573961;7
16-Dec-2013;22/04/2013;8,36;Echap;1;11;MB;-1;21,10205457;98,14572776;8
16-Dec-2013;22/04/2013;8,36;Echap;1;11;MB;-2;17,65270663;99,12743154;9
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;1;6,1661167;88,12712529;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;0;14,44739046;99,67066336;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;-1;12,02691143;99,2624083;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;-2;3,97273399;93,91011327;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;-3;8,73917607;99,57182142;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;Talle;-4;4,70095834;98,20901667;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;12;MB;1;12,44803962;88,98261163;7
16-Dec-2013;22/04/2013;8,36;Echap;1;12;MB;0;20,29012071;99,21779982;8
16-Dec-2013;22/04/2013;8,36;Echap;1;12;MB;-1;16,73561169;99,59715115;9
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;1;7,24127584;85,97202423;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;0;12,78449056;99,16103149;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-1;13,04497391;99,55241781;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-2;5,43095688;64,76003801;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-3;10,25175369;96,91320149;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-4;18,89657511;99,53225958;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-5;3,5887025;92,8494382;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-6;9,3144975;99,46839827;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-7;5,34160222;99,82788816;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-8;5,67853703;90,06731616;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-9;11,51223504;99,09913696;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;Talle;-10;16,2725481;99,30419269;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;13;MB;1;6,53111597;35,38636308;6
16-Dec-2013;22/04/2013;8,36;Echap;1;13;MB;0;14,25368117;98,2438075;7
16-Dec-2013;22/04/2013;8,36;Echap;1;13;MB;-1;21,02302247;98,89905864;8
16-Dec-2013;22/04/2013;8,36;Echap;1;13;MB;-2;13,19965102;99,80082602;9
16-Dec-2013;22/04/2013;8,36;Echap;1;14;MB;1;8,08611286;91,94359118;6
16-Dec-2013;22/04/2013;8,36;Echap;1;14;MB;0;15,27190494;99,56170923;7
16-Dec-2013;22/04/2013;8,36;Echap;1;14;MB;-1;15,05190538;99,64960031;8
16-Dec-2013;22/04/2013;8,36;Echap;1;14;Talle;1;3,75031508;92,43936006;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;14;Talle;0;10,29417296;99,32157182;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;14;Talle;-1;3,33821913;95,13939218;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;14;Talle;-2;1,19096536;86,78223185;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;1;5,47208583;84,98835736;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;0;12,24981421;98,60695993;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-1;18,83625265;99,61467654;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-2;8,85417584;92,04677936;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-3;18,76431731;99,37939986;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-4;5,94869778;97,50826962;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-5;13,8757787;99,45832849;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-6;9,80981909;97,5321024;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-7;13,70626291;99,44809894;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;Talle;-8;3,85128262;79,80149091;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;15;MB;1;4,03079839;15,78568285;6
16-Dec-2013;22/04/2013;8,36;Echap;1;15;MB;0;9,75917403;88,56000132;7
16-Dec-2013;22/04/2013;8,36;Echap;1;15;MB;-1;19,89205699;98,99700805;8
16-Dec-2013;22/04/2013;8,36;Echap;1;15;MB;-2;20,564475;99,45803922;9
27-juin-201;22/04/2013;8,36;Echap;1;3;MB;1;2,95080055;2,65099754;5
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;0;8,56982157;79,43839045;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-1;13,65771462;96,40166277;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;MB;-2;7,2322436;59,7279215;6
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-3;20,87108729;99,52627878;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;MB;-4;7,73127486;92,827638;7
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-5;14,11335887;99,96457264;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-6;7,16143729;90,74795613;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;MB;-7;19,7596379;99,1796588;8
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-8;14,90690567;98,94073986;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-9;17,73028712;99,76348155;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;MB;-10;20,21205635;99,90344332;9
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-11;7,60288802;83,64589079;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-12;1,10790101;97,20483331;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-13;16,21690305;99,05912775;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-14;2,00693147;98,95523588;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-15;1,61177097;87,57129991;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-16;3,56983157;98,40509646;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-17;2,85451042;97,71160583;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;1;4,87321606;94,98245846;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;0;3,44305763;98,31826486;NA
27-juin-201;22/04/2013;8,36;Echap;1;3;Talle;-1;24,63591847;99,66937928;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;4;MB;1;7,65869436;65,36728161;6
16-Dec-2013;22/04/2013;8,36;Echap;1;4;MB;0;14,83561549;98,5083876;7
16-Dec-2013;22/04/2013;8,36;Echap;1;4;MB;-1;23,98930686;99,46145468;8
16-Dec-2013;22/04/2013;8,36;Echap;1;4;MB;-2;3,51886393;97,72195994;9
16-Dec-2013;22/04/2013;8,36;Echap;1;4;Talle;1;3,83805684;96,75155488;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;4;Talle;0;8,06820967;92,8932691;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;4;Talle;-1;15,177389;99,77258236;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;4;Talle;-2;8,21062874;99,51675637;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;1;6,85869596;98,10224814;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;0;12,18320144;99,35924592;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-1;3,78773436;83,66121615;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-2;6,04256856;84,53181721;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-3;2,15467311;90,8750655;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-4;9,34804582;98,85951896;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-5;16,25787071;99,27181817;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-6;5,6628919;99,92025064;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-7;4,04241127;98,78306667;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-8;4,11692725;97,33202742;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-9;3,9661211;99,37779585;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-10;2,49080147;84,56258499;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-11;7,78659733;97,70491124;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-12;4,85869996;99,57508963;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-13;15,2338405;99,41132875;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;Talle;-14;18,16512496;99,38911777;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;5;MB;1;5,09079627;22,52003929;6
16-Dec-2013;22/04/2013;8,36;Echap;1;5;MB;0;12,73255518;84,30239923;7
16-Dec-2013;22/04/2013;8,36;Echap;1;5;MB;-1;18,88722029;99,00427836;8
16-Dec-2013;22/04/2013;8,36;Echap;1;5;MB;-2;18,80286562;99,39611247;9
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;1;4,5628941;69,85507246;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;0;9,7886901;91,54226396;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-1;18,03577038;99,61277745;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-2;4,04450804;99,16653374;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-3;8,09240317;88,76288043;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-4;16,10029038;98,31099357;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-5;17,39948133;99,60139789;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-6;3,69579906;80,70611853;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-7;8,63417628;87,99036091;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;Talle;-8;15,45254974;99,14723504;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;6;MB;1;3,99079847;7,650648668;6
16-Dec-2013;22/04/2013;8,36;Echap;1;6;MB;0;9,18578808;81,60556258;7
16-Dec-2013;22/04/2013;8,36;Echap;1;6;MB;-1;17,32012665;97,1113284;8
16-Dec-2013;22/04/2013;8,36;Echap;1;6;MB;-2;21,58753747;99,7997654;9
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;1;1,24451364;54,28978745;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;0;4,00837908;94,99839047;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-1;5,64256936;99,3254059;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-2;0,81419192;63,70839937;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-3;2,66080113;82,03309693;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-4;4,72111959;93,98039015;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-5;10,5177209;96,18463426;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-6;2,86015557;89,04302712;NA
27-juin-201;22/04/2013;8,36;Echap;1;6;Talle;-7;3,02951007;90,84278337;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;MB;1;5,61740812;83,21465488;6
16-Dec-2013;22/04/2013;8,36;Echap;1;7;MB;0;12,5499749;99,15435034;7
16-Dec-2013;22/04/2013;8,36;Echap;1;7;MB;-1;17,31673956;99,83514027;8
16-Dec-2013;22/04/2013;8,36;Echap;1;7;MB;-2;3,9241857;99,32182491;9
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;1;3,8499923;73,04147465;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;0;9,95756073;95,97810065;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;-1;17,74415806;98,87468868;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;-2;6,02885891;98,87102384;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;-3;9,43030372;96,58616679;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;-4;3,20418714;88,49290245;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;7;Talle;-5;2,56273681;97,40071748;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;1;1,4096746;93,97025172;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;0;3,66563783;64,19237031;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-1;10,887075;98,36444444;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-2;17,95996408;99,8796609;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-3;8,68046651;99,41098868;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-4;12,21497557;99,68969934;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-5;8,68369231;94,36282249;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-6;15,66948479;99,79310558;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-7;18,05770582;99,74633345;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-8;3,93612116;85,88755942;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;Talle;-9;8,05691937;99,33337337;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;8;MB;1;8,85853067;70,61340422;6
16-Dec-2013;22/04/2013;8,36;Echap;1;8;MB;0;14,74077697;97,56108236;7
16-Dec-2013;22/04/2013;8,36;Echap;1;8;MB;-1;23,44253376;99,38215544;8
16-Dec-2013;22/04/2013;8,36;Echap;1;8;MB;-2;5,77160136;99,84071093;9
16-Dec-2013;22/04/2013;8,36;Echap;1;9;Talle;1;0,65467611;89,8989899;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;9;Talle;0;4,44821691;94,69161318;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;9;Talle;-1;9,67046453;98,63902463;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;9;Talle;-2;2,58354322;92,41478337;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;9;Talle;-3;5,72369823;98,74601967;NA
16-Dec-2013;22/04/2013;8,36;Echap;1;9;MB;1;6,94256676;68,93643713;6
16-Dec-2013;22/04/2013;8,36;Echap;1;9;MB;0;12,71513586;98,42580612;7
16-Dec-2013;22/04/2013;8,36;Echap;1;9;MB;-1;19,26431631;99,18786996;8
16-Dec-2013;22/04/2013;8,36;Echap;1;9;MB;-2;5,17224772;98,70899339;9
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;1;3,06241323;94,94917575;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;0;10,27546332;99,49613863;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-1;4,56224894;99,66768012;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-2;2,13435057;72,65170407;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-3;4,96757071;94,93490048;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-4;7,75579094;98,96643514;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-5;6,83740568;95,40951123;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;Talle;-6;12,19562077;98,91685292;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;16;MB;1;10,11159268;38,87417852;6
16-Dec-2013;22/04/2013;8,36;Echap;2;16;MB;0;20,18463705;95,910344;7
16-Dec-2013;22/04/2013;8,36;Echap;2;16;MB;-1;29,2515544;98,7919056;8
16-Dec-2013;22/04/2013;8,36;Echap;2;16;MB;-2;18,61351116;99,60833247;9
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;1;8,70062776;90,65697761;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;0;14,14077817;99,02364468;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-1;2,22080201;87,67521243;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-2;18,99092976;99,78257915;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-3;5,47563421;76,23494065;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-4;6,41482588;88,91179724;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-5;17,41077163;99,77118401;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-6;10,00433483;99,54535928;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-7;5,1032156;95,01896334;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-8;12,4048139;99,53322065;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-9;2,43160804;99,42292385;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;1;4,13579818;88,09375244;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;0;4,96208685;96,92182675;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-1;9,10723985;98,46630656;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-2;2,44628543;82,79818026;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-3;6,73111557;96,30028994;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-4;9,5225616;99,4004065;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-5;4,07128218;69,30116473;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-6;7,16950179;77,34134215;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-7;13,57545672;98,89863131;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-8;2,92467157;90,00165444;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-9;2,65257534;83,1934817;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-10;5,84611734;99,29095624;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;17;Talle;-11;8,83998232;99,88322873;NA
27-juin-201;22/04/2013;8,36;Echap;2;17;MB;1;7,90030678;78,14707444;6
27-juin-201;22/04/2013;8,36;Echap;2;17;MB;0;14,09787503;99,01838526;7
27-juin-201;22/04/2013;8,36;Echap;2;17;MB;-1;22,08608486;99,79625221;8
27-juin-201;22/04/2013;8,36;Echap;2;17;MB;-2;5,28192492;99,83815806;9
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;1;2,07225392;84,19987547;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;0;1,92306067;94,52319047;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-1;5,22353794;96,25455444;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-2;5,05047377;98,37128349;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-3;1,73483524;93,46411305;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-4;12,20562075;99,82292699;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-5;5,47805356;99,60546461;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-6;5,25773142;98,93244984;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-7;5,68482734;63,46252057;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-8;9,88417378;97,82317809;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-9;16,29561257;99,26360694;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-10;9,02611098;99,53182517;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-11;2,25128582;96,08110044;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-12;4,80853877;69,11749908;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-13;10,07175405;96,32316438;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;Talle;-14;16,08980653;99,24717062;NA
16-Dec-2013;22/04/2013;8,36;Echap;2;18;MB;1;8,96175627;87,32969782;6
16-Dec-2013;22/04/2013;8,36;Echap;2;18;MB;0;16,9822241;98,56491595;7
16-Dec-2013;22/04/2013;8,36;Echap;2;18;MB;-1;22,65834178;98,29871443;8
16-Dec-2013;22/04/2013;8,36;Echap;2;18;MB;-2;4,45192658;99,48554453;9
27-juin-201;22/04/2013;8,36;Echap;2;19;Talle;1;1,59725487;94,79955569;NA
